number,classification,id
2179,IC,84/106258/18/19/80
1188,ICE,84/103737/18/19/80
706,IC,84/282750/18/19/80
2314,IC,84/107264/18/19/80
1618,ICE,84/104611/18/19/80
2178,IC,84/106249/18/19/80
1646,IC,84/293940/18/19/80
541,IC,84/239041/18/19/80
356,EC,84/166009/18/19/80
701,ICE,84/110622/18/19/80
2445,IC,84/108070/18/19/80
5717,IC,84/190837/18/19/80
614,ICE,84/109914/18/19/80
2044,IC,84/105784/18/19/80
604,ICE,84/109842/18/19/80
1514,ICE,84/104185/18/19/80
1616,IC,84/220996/18/19/80
1003,ICE,84/102862/18/19/80
704,IC,84/282732/18/19/80
634,ICE,84/110179/18/19/80
2153,IC,84/106118/18/19/80
2099,IC,84/106086/18/19/80
1184,ICE,84/103716/18/19/80
528,IC,84/291625/18/19/80
1057,IC,84/271380/18/19/80
991,ICE,84/112213/18/19/80
1708,ICE,84/104883/18/19/80
121,EC,84/90131/18/19/80
12716,IC,84/219050/18/19/80
525,ICE,84/109064/18/19/80
2279,IC,84/107002/18/19/80
649,ICE,84/110275/18/19/80
2228,IC,84/106712/18/19/80
1028,ICE,84/102975/18/19/80
843,ICE,84/111348/18/19/80
956,ICE,84/111984/18/19/80
946,ICE,84/111897/18/19/80
821,IC,84/240188/18/19/80
718,IC,84/232241/18/19/80
2233,IC,84/106745/18/19/80
701,IC,84/282672/18/19/80
551,IC,84/279540/18/19/80
2035,IC,84/105735/18/19/80
7484,IC,84/292347/18/19/80
101,ICE,84/102887/18/19/80
806,IC,84/283276/18/19/80
2319,IC,84/107316/18/19/80
2302,IC,84/107107/18/19/80
2241,IC,84/106781/18/19/80
2164,IC,84/106183/18/19/80
2434,IC,84/107970/18/19/80
103,ICE,84/103032/18/19/80
1606,IC,84/272986/18/19/80
271,ICE,84/194991/18/19/80
2220,IC,84/106598/18/19/80
3520,IC,84/226260/18/19/80
853,ICE,84/111430/18/19/80
714,IC,84/232216/18/19/80
511,IC,84/229346/18/19/80
676,ICE,84/110400/18/19/80
553,ICE,84/109293/18/19/80
2368,IC,84/107440/18/19/80
2176,IC,84/106241/18/19/80
1296,IC,84/103979/18/19/80
3114,IC,84/225331/18/19/80
1718,IC,84/221177/18/19/80
1718,IC,84/221176/18/19/80
27,ICE,84/194960/18/19/80
428,IC,84/291131/18/19/80
1507,IC,84/272645/18/19/80
191,EC,84/193566/18/19/80
2287,IC,84/107029/18/19/80
3619,IC,84/226624/18/19/80
12514,IC,84/218560/18/19/80
41,EC,84/195990/18/19/80
818,IC,84/233330/18/19/80
1918,IC,84/221587/18/19/80
2003,IC,84/105402/18/19/80
699,ICE,84/110612/18/19/80
511,ICE,84/108853/18/19/80
3617,IC,84/226611/18/19/80
273,EC,84/195001/18/19/80
820,ICE,84/111247/18/19/80
713,ICE,84/110678/18/19/80
2265,IC,84/106888/18/19/80
12711,IC,84/219042/18/19/80
2438,IC,84/107996/18/19/80
1097,ICE,84/103331/18/19/80
1091,ICE,84/103266/18/19/80
3014,IC,84/223971/18/19/80
703,IC,84/282721/18/19/80
824,ICE,84/111284/18/19/80
2184,IC,84/106286/18/19/80
3,ICE,84/195135/18/19/80
977,ICE,84/112138/18/19/80
783,ICE,84/111060/18/19/80
3612,IC,84/226588/18/19/80
874,ICE,84/111497/18/19/80
12518,IC,84/218568/18/19/80
9558,ICE,84/111979/18/19/80
823,ICE,84/111280/18/19/80
2365,IC,84/107427/18/19/80
957,IC,84/284220/18/19/80
2363,IC,84/107421/18/19/80
2043,IC,84/105773/18/19/80
2013,IC,84/105505/18/19/80
78,ICE,84/197841/18/19/80
981,ICE,84/112151/18/19/80
813,ICE,84/111231/18/19/80
513,ICE,84/108884/18/19/80
2271,IC,84/106938/18/19/80
804,IC,84/283268/18/19/80
1506,IC,84/272641/18/19/80
2296,IC,84/107076/18/19/80
508,IC,84/281850/18/19/80
1608,IC,84/272998/18/19/80
71,ICE,84/197518/18/19/80
245,IC,84/194613/18/19/80
520,IC,84/229561/18/19/80
3610,IC,84/226583/18/19/80
2156,IC,84/106133/18/19/80
823,IC,84/240203/18/19/80
2432,IC,84/107954/18/19/80
2268,IC,84/106913/18/19/80
2212,IC,84/106495/18/19/80
2061,IC,84/105876/18/19/80
2078,IC,84/105978/18/19/80
803,IC,84/283263/18/19/80
1251,ICE,84/272063/18/19/80
713,IC,84/232212/18/19/80
985,ICE,84/112165/18/19/80
716,ICE,84/110694/18/19/80
444,EN,84/95290/18/19/80
374,ICE,84/108450/18/19/80
2224,IC,84/106674/18/19/80
5744,IC,84/190855/18/19/80
2277,IC,84/106984/18/19/80
556,IC,84/282031/18/19/80
711,ICE,84/110660/18/19/80
2010,IC,84/105452/18/19/80
1607,IC,84/272991/18/19/80
1510,IC,84/272684/18/19/80
590,IC,84/239353/18/19/80
543,IC,84/239041/18/20/80
973,ICE,84/112127/18/19/80
1092,ICE,84/103281/18/19/80
692,ICE,84/110515/18/19/80
507,IC,84/281845/18/19/80
3522,IC,84/226274/18/19/80
719,IC,84/239884/18/19/80
989,ICE,84/112177/18/19/80
908,ICE,84/111800/18/19/80
2278,IC,84/106988/18/19/80
3116,IC,84/225344/18/19/80
1620,IC,84/221005/18/19/80
529,IC,84/291636/18/19/80
886,ICE,84/111696/18/19/80
820,IC,84/233358/18/19/80
3623,IC,84/226654/18/19/80
1920,IC,84/221595/18/19/80
277,ICE,84/108366/18/19/80
1505,ICE,84/104134/18/19/80
811,ICE,84/111228/18/19/80
2504,ICE,84/108113/18/19/80
1507,ICE,84/104146/18/19/80
2357,IR,84/343142/18/19/80
3016,IC,84/223984/18/19/80
21,ICE,84/193834/18/19/80
12513,IC,84/218559/18/19/80
240,IC,84/194513/18/19/80
2447,IC,84/108089/18/19/80
2182,IC,84/106271/18/19/80
113,EC,84/192600/18/19/80
708,IC,84/282775/18/19/80
12720,IC,84/219058/18/19/80
527,ICE,84/109082/18/19/80
781,ICE,84/111009/18/19/80
178,EC,84/193472/18/19/80
805,IC,84/283271/18/19/80
1501,ICE,84/104111/18/19/80
18,ICE,84/104951/18/19/80
1654,ICE,84/104751/18/19/80
1716,ICE,84/104897/18/19/80
956,IC,84/284214/18/19/80
1508,IC,84/272646/18/19/80
1114,IC,84/103384/18/19/80
9,EC,84/199171/18/19/80
51,EC,84/196522/18/19/80
115,EC,84/192674/18/19/80
3015,IC,84/223983/18/19/80
390,EC,84/195874/18/19/80
559,IC,84/282037/18/19/80
2005,IC,84/105414/18/19/80
284,IC,84/195050/18/19/80
3118,IC,84/225357/18/19/80
173,EC,84/193425/18/19/80
1521,ICE,84/104221/18/19/80
503,IC,84/291519/18/19/80
557,IC,84/282034/18/19/80
12715,IC,84/219046/18/19/80
808,IC,84/283285/18/19/80
3614,IC,84/226593/18/19/80
2310,IC,84/107167/18/19/80
107,IC,84/288128/18/19/80
654,ICE,84/110329/18/19/80
644,ICE,84/110255/18/19/80
242,IC,84/194566/18/19/80
218,EC,84/194093/18/19/80
171,EC,84/193408/18/19/80
533,ICE,84/109112/18/19/80
2206,IC,84/106435/18/19/80
1132,ICE,84/103447/18/19/80
1082,ICE,84/103207/18/19/80
